"Instrument","Description","Sector","TickSize","PipLocation"
"AU200_AUD","Australia 200","Index",1,0
"BCO_USD","Brent Crude Oil"," Commodity",0.01,-2
"CN50_USD","China A50","Index",1,0
"CORN_USD","Corn"," Commodity",0.01,-2
"DE10YB_EUR","Bund"," Treasury",0.01,-2
"DE30_EUR","Germany 30","Index",1,0
"EU50_EUR","Europe 50","Index",1,0
"FR40_EUR","France 40","Index",1,0
"HK33_HKD","Hong Kong 33","Index",1,0
"IN50_USD","India 50","Index",1,0
"JP225_USD","Japan 225","Index",1,0
"NAS100_USD","US Nas 100","Index",1,0
"NATGAS_USD","Natural Gas"," Commodity",0.01,-2
"NL25_EUR","Netherlands 25","Index",0.01,-2
"SG30_SGD","Singapore 30","Index",0.1,-1
"SOYBN_USD","Soybeans"," Commodity",0.01,-2
"SPX500_USD","US SPX 500","Index",1,0
"SUGAR_USD","Sugar"," Commodity",0.0001,-4
"TWIX_USD","Taiwan Index","Index",1,0
"UK100_GBP","UK 100","Index",1,0
"UK10YB_GBP","UK 10Y Gilt","Index",0.01,-2
"US2000_USD","US Russ 2000","Index",0.01,-2
"US30_USD","US Wall St 30","Index",1,0
"USB02Y_USD","US 2Y T-Note"," Treasury",0.01,-2
"USB05Y_USD","US 5Y T-Note"," Treasury",0.01,-2
"USB10Y_USD","US 10Y T-Note"," Treasury",0.01,-2
"USB30Y_USD","US T-Bond"," Treasury",0.01,-2
"WHEAT_USD","Wheat"," Commodity",0.01,-2
"WTICO_USD","West Texas Oil"," Commodity",0.01,-2
"XCU_USD","Copper"," Commodity",0.0001,-4
"AUD_CAD","AUD/CAD","CASH",0.0001,-4
"AUD_CHF","AUD/CHF","CASH",0.0001,-4
"AUD_HKD","AUD/HKD","CASH",0.0001,-4
"AUD_JPY","AUD/JPY","CASH",0.01,-2
"AUD_NZD","AUD/NZD","CASH",0.0001,-4
"AUD_SGD","AUD/SGD","CASH",0.0001,-4
"AUD_USD","AUD/USD","CASH",0.0001,-4
"CAD_CHF","CAD/CHF","CASH",0.0001,-4
"CAD_HKD","CAD/HKD","CASH",0.0001,-4
"CAD_JPY","CAD/JPY","CASH",0.01,-2
"CAD_SGD","CAD/SGD","CASH",0.0001,-4
"CHF_HKD","CHF/HKD","CASH",0.0001,-4
"CHF_JPY","CHF/JPY","CASH",0.01,-2
"CHF_ZAR","CHF/ZAR","CASH",0.0001,-4
"EUR_AUD","EUR/AUD","CASH",0.0001,-4
"EUR_CAD","EUR/CAD","CASH",0.0001,-4
"EUR_CHF","EUR/CHF","CASH",0.0001,-4
"EUR_CZK","EUR/CZK","CASH",0.0001,-4
"EUR_DKK","EUR/DKK","CASH",0.0001,-4
"EUR_GBP","EUR/GBP","CASH",0.0001,-4
"EUR_HKD","EUR/HKD","CASH",0.0001,-4
"EUR_HUF","EUR/HUF","CASH",0.01,-2
"EUR_JPY","EUR/JPY","CASH",0.01,-2
"EUR_NOK","EUR/NOK","CASH",0.0001,-4
"EUR_NZD","EUR/NZD","CASH",0.0001,-4
"EUR_PLN","EUR/PLN","CASH",0.0001,-4
"EUR_SEK","EUR/SEK","CASH",0.0001,-4
"EUR_SGD","EUR/SGD","CASH",0.0001,-4
"EUR_TRY","EUR/TRY","CASH",0.0001,-4
"EUR_USD","EUR/USD","CASH",0.0001,-4
"EUR_ZAR","EUR/ZAR","CASH",0.0001,-4
"GBP_AUD","GBP/AUD","CASH",0.0001,-4
"GBP_CAD","GBP/CAD","CASH",0.0001,-4
"GBP_CHF","GBP/CHF","CASH",0.0001,-4
"GBP_HKD","GBP/HKD","CASH",0.0001,-4
"GBP_JPY","GBP/JPY","CASH",0.01,-2
"GBP_NZD","GBP/NZD","CASH",0.0001,-4
"GBP_PLN","GBP/PLN","CASH",0.0001,-4
"GBP_SGD","GBP/SGD","CASH",0.0001,-4
"GBP_USD","GBP/USD","CASH",0.0001,-4
"GBP_ZAR","GBP/ZAR","CASH",0.0001,-4
"HKD_JPY","HKD/JPY","CASH",0.0001,-4
"NZD_CAD","NZD/CAD","CASH",0.0001,-4
"NZD_CHF","NZD/CHF","CASH",0.0001,-4
"NZD_HKD","NZD/HKD","CASH",0.0001,-4
"NZD_JPY","NZD/JPY","CASH",0.01,-2
"NZD_SGD","NZD/SGD","CASH",0.0001,-4
"NZD_USD","NZD/USD","CASH",0.0001,-4
"SGD_CHF","SGD/CHF","CASH",0.0001,-4
"SGD_HKD","SGD/HKD","CASH",0.0001,-4
"SGD_JPY","SGD/JPY","CASH",0.01,-2
"TRY_JPY","TRY/JPY","CASH",0.01,-2
"USD_CAD","USD/CAD","CASH",0.0001,-4
"USD_CHF","USD/CHF","CASH",0.0001,-4
"USD_CNH","USD/CNH","CASH",0.0001,-4
"USD_CZK","USD/CZK","CASH",0.0001,-4
"USD_DKK","USD/DKK","CASH",0.0001,-4
"USD_HKD","USD/HKD","CASH",0.0001,-4
"USD_HUF","USD/HUF","CASH",0.01,-2
"USD_INR","USD/INR","CASH",0.01,-2
"USD_JPY","USD/JPY","CASH",0.01,-2
"USD_MXN","USD/MXN","CASH",0.0001,-4
"USD_NOK","USD/NOK","CASH",0.0001,-4
"USD_PLN","USD/PLN","CASH",0.0001,-4
"USD_SAR","USD/SAR","CASH",0.0001,-4
"USD_SEK","USD/SEK","CASH",0.0001,-4
"USD_SGD","USD/SGD","CASH",0.0001,-4
"USD_THB","USD/THB","CASH",0.01,-2
"USD_TRY","USD/TRY","CASH",0.0001,-4
"USD_ZAR","USD/ZAR","CASH",0.0001,-4
"ZAR_JPY","ZAR/JPY","CASH",0.01,-2
"XAG_AUD","Silver/AUD","Commodity",0.0001,-4
